SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_ID,PLAYER_NAME,SEASON
22022,1630173,0022200553,2023-01-02,TOR @ IND,L,12,1,3,0.333,0,1,0.0,1,2,0.5,0,0,0,2,1,3,0,2,3,-11,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022200165,2022-11-09,TOR vs. HOU,W,12,2,8,0.25,0,2,0.0,0,0,0.0,4,2,6,1,0,1,2,2,4,-11,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022200151,2022-11-07,TOR @ CHI,L,14,4,6,0.667,0,0,0.0,2,2,1.0,1,3,4,1,0,1,0,1,10,-16,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022200141,2022-11-06,TOR vs. CHI,W,14,2,6,0.333,0,2,0.0,1,2,0.5,3,1,4,2,1,1,1,3,5,-20,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022200127,2022-11-04,TOR @ DAL,L,27,4,9,0.444,1,3,0.333,6,6,1.0,3,5,8,2,0,1,2,1,15,2,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022200114,2022-11-02,TOR @ SAS,W,21,4,9,0.444,0,3,0.0,4,4,1.0,0,6,6,1,1,1,1,1,12,6,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022200099,2022-10-31,TOR vs. ATL,W,18,2,3,0.667,0,1,0.0,6,6,1.0,0,3,3,1,0,0,1,1,10,11,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022200073,2022-10-28,TOR vs. PHI,L,15,0,6,0.0,0,3,0.0,0,0,0.0,2,1,3,1,0,1,2,1,0,-10,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022200059,2022-10-26,TOR vs. PHI,W,21,3,7,0.429,1,3,0.333,0,0,0.0,3,3,6,4,0,0,2,3,7,14,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022200045,2022-10-24,TOR @ MIA,W,34,5,12,0.417,0,1,0.0,0,1,0.0,4,18,22,2,0,1,0,2,10,10,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022200031,2022-10-22,TOR @ MIA,L,34,5,9,0.556,2,5,0.4,6,7,0.857,3,8,11,1,0,0,1,1,18,16,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022200021,2022-10-21,TOR @ BKN,L,17,1,6,0.167,0,1,0.0,2,3,0.667,0,6,6,0,0,0,3,2,4,-8,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022200008,2022-10-19,TOR vs. CLE,W,18,4,11,0.364,1,4,0.25,1,2,0.5,1,4,5,0,0,0,0,1,10,-4,1,1630173,Precious Achiuwa,2022-23
22023,1630173,0022301190,2024-04-14,NYK vs. CHI,W,19,2,3,0.667,0,0,0.0,0,0,0.0,1,4,5,2,0,1,2,3,4,-2,1,1630173,Precious Achiuwa,2023-24
22023,1630173,0022301175,2024-04-12,NYK vs. BKN,W,8,2,2,1.0,1,1,1.0,0,0,0.0,0,3,3,0,0,0,0,0,5,3,1,1630173,Precious Achiuwa,2023-24
22023,1630173,0022301167,2024-04-11,NYK @ BOS,W,16,1,6,0.167,0,1,0.0,0,0,0.0,2,3,5,0,0,1,1,0,2,-9,1,1630173,Precious Achiuwa,2023-24
22023,1630173,0022301139,2024-04-07,NYK @ MIL,W,5,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,5,1,1630173,Precious Achiuwa,2023-24
